t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
1.741468,0,0,0.235996,0.235996,0.2750,-0.03900,0,1,1,+0.01875,+0.13547,0.09230,204.38,+0.01832,+0.01805,+0.00000,+0.13223,0.09070,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.415,-0.07303,-15.00,-0.00576,0,+0.00000,+0.00000,0.01060,+0.001,0,35.0,34.1
1.769910,0,0,0.237712,0.237712,0.2750,-0.03729,0,1,1,+0.01875,+0.13547,0.09230,204.38,+0.01838,+0.01809,+0.00000,+0.13263,0.09090,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.495,-0.07053,-15.00,-0.00567,0,+0.00000,+0.00000,0.01060,+0.001,0,35.0,34.1
1.800239,0,0,0.240663,0.240663,0.2750,-0.03434,0,1,1,+0.01935,+0.12753,0.09162,202.96,+0.01851,+0.01815,+0.00000,+0.13196,0.09099,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.505,-0.06921,-15.00,-0.00567,0,+0.00000,+0.00000,0.00962,+0.001,0,35.0,34.1
1.830740,0,0,0.243684,0.243684,0.2750,-0.03132,0,1,1,+0.02013,+0.12424,0.09395,202.36,+0.01872,+0.01822,+0.00000,+0.13094,0.09139,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.497,-0.06806,-15.00,-0.00570,0,+0.00000,+0.00000,0.00913,+0.001,0,35.0,34.1
1.860818,0,0,0.247238,0.247238,0.2750,-0.02776,0,1,1,+0.01962,+0.11744,0.09623,201.14,+0.01884,+0.01830,+0.00000,+0.12917,0.09202,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-10.215,-0.06809,-15.00,-0.00611,0,+0.00000,+0.00000,0.00857,+0.001,0,35.0,34.1
1.891868,0,0,0.250732,0.250732,0.2750,-0.02427,0,1,1,+0.02113,+0.11395,0.09702,200.51,+0.01915,+0.01842,+0.00000,+0.12713,0.09269,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.946,-0.06841,-15.00,-0.00650,0,+0.00000,+0.00000,0.00845,+0.001,0,35.0,34.1
1.922176,0,0,0.255076,0.255076,0.2750,-0.01992,0,1,1,+0.02171,+0.10378,0.09718,198.68,+0.01948,+0.01856,+0.00000,+0.12405,0.09328,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.765,-0.07179,-15.00,-0.00672,0,+0.00000,+0.00000,0.00824,+0.001,0,35.0,34.1
1.952761,0,0,0.259141,0.259141,0.2750,-0.01586,0,1,1,+0.02176,+0.09949,0.10000,197.91,+0.01979,+0.01872,+0.00000,+0.12080,0.09417,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.571,-0.07765,-15.00,-0.00693,0,+0.00000,+0.00000,0.00807,+0.001,0,35.0,34.1
1.983118,0,0,0.262310,0.262310,0.2750,-0.01269,0,1,1,+0.02035,+0.09870,0.10138,197.77,+0.01986,+0.01887,+0.00000,+0.11788,0.09512,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.435,-0.07989,-15.00,-0.00710,0,+0.00000,+0.00000,0.00774,+0.001,0,35.0,34.1
2.014471,0,0,0.266074,0.266074,0.2750,-0.00893,0,1,1,+0.01985,+0.09052,0.10244,196.29,+0.01986,+0.01900,+0.00000,+0.11418,0.09611,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.215,-0.08233,-15.00,-0.00738,0,+0.00000,+0.00000,0.00786,+0.001,0,35.0,34.1
2.043710,0,0,0.269150,0.269150,0.2750,-0.00585,0,1,1,+0.02008,+0.08742,0.10138,195.74,+0.01989,+0.01912,+0.00000,+0.11076,0.09679,1.0000,1,0,0,0,+0.000,+0.000,+0.000,+0.00000,-9.116,-0.08347,-15.00,-0.00751,0,+0.00000,+0.00000,0.00766,+0.001,0,33.6,33.6
