t,seg,active_gate,thrust,thrust_cmd,base_thrust,vtrim,descent_on,desc_leg,descent_bias,gate_v_ok,gate_found,u_err,v_err,size_frac,cy,u_f,u_f2,du_lat,v_f,sz_f,sig_k,live,far_rej,tube_solid,rail_on,u_tube_f,curv_f,rail_k,rail_deg,gate_fine_deg,steer,bank_seg,ff_bank_deg,trim_deg,des_roll_deg,roll_n,est_pitch_deg,gyro_pitch,des_pitch_deg,pitch_n,tube_found,u_tube,curvature,area_frac,est_roll_deg,hold_on,loop_hz,det_hz
0.980282,0,0,0.284963,0.284963,0.2750,+0.00996,0,0,0.0000,1,1,+0.03340,-0.02934,0.09078,174.72,+0.02669,+0.02298,+0.00000,-0.02026,0.08752,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00700,-3.547,+0.00003,+0.00,+0.00000,0,+0.00000,+0.00000,0.02160,+1.306,0,0.0,0.0
1.006817,0,0,0.285225,0.285225,0.2750,+0.01022,0,0,0.0000,1,1,+0.03475,-0.02735,0.09179,175.08,+0.02764,+0.02352,+0.00000,-0.02109,0.08802,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00686,-3.480,+0.00003,+0.00,+0.00000,0,+0.00000,+0.00000,0.00546,+1.340,0,34.9,33.9
1.032780,0,0,0.285303,0.285303,0.2750,+0.01030,0,0,0.0000,1,1,+0.03555,-0.02704,0.09280,175.13,+0.02854,+0.02410,+0.00000,-0.02178,0.08857,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00675,-3.430,+0.00003,+0.00,+0.00000,0,+0.00000,+0.00000,0.00137,+1.365,0,34.9,33.9
1.059239,0,0,0.285015,0.285015,0.2750,+0.01001,0,0,0.0000,1,1,+0.03574,-0.02522,0.09078,175.46,+0.02939,+0.02472,+0.00000,-0.02218,0.08882,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00665,-3.337,+0.00003,+0.00,+0.00000,0,+0.00000,+0.00000,0.00214,+1.389,0,34.9,33.9
1.087448,0,0,0.284970,0.284970,0.2750,+0.00997,0,0,0.0000,1,1,+0.03701,-0.02704,0.09129,175.13,+0.03033,+0.02541,+0.00000,-0.02278,0.08913,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00660,-3.333,+0.00002,+0.00,+0.00000,0,+0.00000,+0.00000,0.00366,+1.401,0,34.9,33.9
1.114924,0,0,0.284853,0.284853,0.2750,+0.00985,0,0,0.0000,1,1,+0.03701,-0.02704,0.09129,175.13,+0.03114,+0.02610,+0.00000,-0.02329,0.08939,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00651,-3.272,+0.00002,+0.00,+0.00000,0,+0.00000,+0.00000,0.00366,+1.425,0,34.9,33.9
1.141414,0,0,0.284606,0.284606,0.2750,+0.00961,0,0,0.0000,1,1,+0.03980,-0.02647,0.09162,175.24,+0.03215,+0.02681,+0.00000,-0.02366,0.08965,1.0000,1,0,0,1,-0.07796,+0.05156,1.0000,+2.990,+0.000,0,0,+0.000,+2.990,+2.990,+0.00645,-3.212,+0.00002,+0.00,+0.00000,0,+0.00000,+0.00000,0.00589,+1.438,0,34.9,33.9
1.168710,0,0,0.284089,0.284089,0.2750,+0.00909,0,0,0.0000,1,1,+0.04052,-0.02487,0.09179,175.52,+0.03315,+0.02757,+0.00000,-0.02381,0.08991,1.0000,1,0,0,1,-0.07541,+0.04987,0.9673,+2.892,+0.000,0,0,+0.000,+2.892,+2.892,+0.00599,-3.217,+0.00002,+0.00,+0.00000,0,+0.00000,+0.00000,0.00799,+1.448,0,34.9,33.9
1.198551,0,0,0.283727,0.283727,0.2750,+0.00873,0,0,0.0000,1,1,+0.04093,-0.02580,0.09129,175.36,+0.03416,+0.02843,+0.00000,-0.02407,0.09009,1.0000,1,0,0,1,-0.07104,+0.04698,0.9113,+2.724,+0.000,0,0,+0.000,+2.724,+2.724,+0.00530,-3.334,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.01066,+1.438,0,34.9,33.9
1.224968,0,0,0.283274,0.283274,0.2750,+0.00827,0,0,0.0000,1,1,+0.04224,-0.02486,0.09196,175.53,+0.03511,+0.02921,+0.00000,-0.02416,0.09031,1.0000,1,0,0,1,-0.06738,+0.04456,0.8644,+2.584,+0.000,0,0,+0.000,+2.584,+2.584,+0.00468,-3.270,+0.00001,+0.00,+0.00000,0,+0.00000,+0.00000,0.01075,+1.444,0,34.9,33.9
