220,SLOW,1,26.97,-0.492,+0.688
221,SLOW,3,6.56,+0.470,+0.022
226,SLOW,1,9.55,-0.184,+0.882
229,SLOW,3,6.69,+0.518,-0.020
230,FAST,3,3.17,-0.161,+0.276
231,SLOW,4,6.22,-0.533,+0.000
232,FAST,4,3.13,+0.301,-0.073
234,FAST,7,3.13,-0.009,+0.289
237,SLOW,4,6.54,+0.353,-0.190
239,SLOW,1,6.06,-0.495,+0.546
240,FAST,7,3.12,-0.091,+0.186
241,FAST,7,3.10,-0.022,+0.137
244,SLOW,4,6.52,-0.377,+0.281
245,SLOW,1,6.62,+0.359,-0.176
247,FAST,1,3.18,+0.226,-0.099
251,FAST,1,1.49,+0.288,+0.144
252,SLOW,3,7.80,+0.533,+0.104
253,FAST,1,3.14,-0.264,+0.263
255,SLOW,1,8.04,+0.536,+0.103
256,SLOW,3,6.68,+0.485,+0.128
258,FAST,1,3.08,-0.315,+0.224
260,FAST,1,3.13,-0.186,+0.323
263,SLOW,1,26.97,-0.523,+0.714
265,SLOW,8,6.77,+0.494,+0.058
268,SLOW,1,8.60,+0.539,+0.066
270,SLOW,2,26.21,-0.202,+0.854
271,FAST,1,3.28,-0.384,+0.036
273,SLOW,8,6.52,+0.440,+0.099
275,SLOW,1,6.65,+0.496,+0.105
276,SLOW,1,26.98,-0.319,+0.814
278,FAST,7,3.05,-0.020,+0.333
279,FAST,1,3.10,-0.390,+0.126
281,SLOW,1,7.99,+0.544,+0.062
284,FAST,1,3.22,-0.408,+0.245
285,FAST,4,3.12,+0.290,+0.140
286,SLOW,3,6.61,+0.499,-0.079
287,SLOW,1,6.66,+0.420,-0.194
289,SLOW,1,26.98,-0.490,+0.579
291,FAST,7,3.11,+0.051,+0.298
292,SLOW,4,7.89,-0.239,+0.479
294,SLOW,4,26.97,+0.550,+0.246
296,SLOW,3,9.73,+0.542,+0.011
297,FAST,4,3.16,+0.211,+0.142
299,SLOW,4,6.53,+0.397,-0.074
302,FAST,7,3.11,+0.016,+0.340
304,SLOW,8,6.61,+0.575,+0.021
305,SLOW,1,7.01,+0.145,-0.433
307,FAST,7,3.15,+0.170,+0.100
308,FAST,1,0.41,+0.447,+0.085
309,FAST,3,3.12,-0.280,+0.332
311,SLOW,1,9.23,-0.285,+0.822
313,SLOW,3,6.76,+0.482,-0.049
315,FAST,7,3.12,-0.037,+0.253
317,FAST,4,3.14,+0.269,+0.075
318,FAST,1,3.10,-0.173,+0.355
320,FAST,1,3.19,-0.195,+0.233
321,FAST,3,3.13,-0.328,+0.350
322,FAST,7,3.18,-0.088,+0.266
325,FAST,3,3.13,-0.316,+0.295
327,FAST,3,3.14,-0.119,+0.240
328,SLOW,1,26.98,-0.025,+0.868
329,FAST,7,3.11,-0.009,+0.124
330,SLOW,3,6.66,+0.504,-0.030
331,FAST,7,3.09,-0.052,+0.362
333,FAST,3,3.10,-0.254,+0.284
334,FAST,1,3.18,-0.120,+0.190
335,SLOW,1,7.84,+0.519,+0.062
336,SLOW,3,6.61,+0.480,-0.031
337,SLOW,3,6.63,+0.508,+0.033
338,SLOW,1,6.57,+0.431,-0.088
340,SLOW,1,6.15,-0.585,+0.073
341,SLOW,2,26.72,-0.094,+0.807
343,SLOW,3,6.62,+0.488,+0.004
345,SLOW,1,26.96,-0.448,+0.580
346,FAST,4,3.14,+0.343,+0.013
347,SLOW,1,6.09,-0.611,+0.139
348,SLOW,1,13.43,-0.479,+0.410
351,SLOW,1,26.97,+0.590,+0.548
353,SLOW,8,6.42,+0.551,+0.066
356,SLOW,8,6.36,+0.508,+0.130
357,FAST,3,3.15,-0.207,+0.310
359,FAST,1,3.09,-0.294,+0.164
360,SLOW,1,6.13,-0.621,+0.086
369,SLOW,1,8.19,+0.556,+0.095
371,SLOW,1,26.97,-0.180,+0.868
372,SLOW,1,26.97,-0.531,+0.581
373,FAST,3,3.11,-0.136,+0.273
377,FAST,7,3.05,+0.099,+0.300
379,SLOW,4,11.51,+0.565,+0.085
380,FAST,7,3.14,+0.206,+0.139
382,SLOW,1,6.73,+0.474,-0.074
383,FAST,7,3.15,-0.006,+0.291
385,FAST,1,3.10,-0.339,+0.295
