241,100.2,60.9,44.2,7.88,60.9,176,3.10,-0.022,+0.137,0.552,-0.600,1
244,99.2,69.4,44.8,11.14,69.4,440,6.52,-0.377,+0.281,0.485,-0.600,0
245,69.5,66.6,42.4,12.36,66.6,428,6.62,+0.359,-0.176,0.575,-0.600,0
247,67.3,65.7,44.9,10.50,65.7,188,3.18,+0.226,-0.099,0.572,-0.600,0
251,102.1,36.0,36.0,4.16,36.0,75,1.49,+0.288,+0.144,0.579,+0.000,0
252,75.7,69.5,44.7,12.58,69.5,540,7.80,+0.533,+0.104,0.368,-0.600,0
253,103.5,67.4,45.1,9.51,67.4,189,3.14,-0.264,+0.263,0.589,-0.600,0
255,80.4,70.5,43.5,14.72,70.5,593,8.04,+0.536,+0.103,0.364,-0.600,0
256,77.7,69.6,47.5,12.53,69.6,463,6.68,+0.485,+0.128,0.445,-0.600,0
258,102.2,66.0,42.7,11.35,66.0,182,3.08,-0.315,+0.224,0.586,-0.600,0
260,106.8,67.8,46.0,8.80,67.8,191,3.13,-0.186,+0.323,0.554,-0.600,0
263,105.1,105.3,49.7,15.37,105.3,2658,26.97,-0.523,+0.714,0.291,-0.600,0
265,82.1,68.6,46.8,12.82,68.6,470,6.77,+0.494,+0.058,0.579,-0.600,1
268,79.6,69.6,45.4,14.35,69.6,640,8.60,+0.539,+0.066,0.377,-0.600,0
270,102.9,103.7,28.9,14.67,103.7,2511,26.21,-0.202,+0.854,0.093,-0.600,0
271,75.9,67.3,43.8,10.72,67.3,194,3.28,-0.384,+0.036,0.593,-0.600,0
273,103.4,67.7,42.5,13.71,67.7,448,6.52,+0.440,+0.099,0.524,-0.600,1
275,77.5,66.7,45.4,12.46,66.7,447,6.65,+0.496,+0.105,0.439,-0.600,0
276,98.0,98.2,47.1,14.40,98.2,2509,26.98,-0.319,+0.814,0.112,-0.600,0
278,103.1,64.0,50.7,7.70,64.0,182,3.05,-0.020,+0.333,0.549,-0.600,1
279,70.6,66.4,39.7,10.52,66.4,184,3.10,-0.390,+0.126,0.519,-0.600,0
281,74.1,69.7,39.6,14.42,69.7,561,7.99,+0.544,+0.062,0.353,-0.600,0
284,75.2,66.8,45.9,9.67,66.8,193,3.22,-0.408,+0.245,0.591,-0.600,0
285,106.9,68.5,46.3,10.92,68.5,191,3.12,+0.290,+0.140,0.548,-0.600,0
286,74.3,67.7,44.7,13.26,67.7,453,6.61,+0.499,-0.079,0.493,-0.600,0
287,77.4,66.8,45.0,12.46,66.8,446,6.66,+0.420,-0.194,0.586,-0.600,0
289,108.4,108.4,48.0,16.70,108.4,2720,26.98,-0.490,+0.579,0.337,-0.600,0
291,107.5,68.5,45.5,10.61,68.5,191,3.11,+0.051,+0.298,0.538,-0.600,1
292,100.7,82.4,45.5,15.68,82.4,603,7.89,-0.239,+0.479,0.412,-0.600,0
294,106.3,106.4,48.6,18.55,106.4,2598,26.97,+0.550,+0.246,0.336,-0.600,0
296,72.7,77.4,48.9,12.67,77.4,728,9.73,+0.542,+0.011,0.395,-0.600,0
297,76.1,66.9,46.5,9.64,66.9,190,3.16,+0.211,+0.142,0.591,-0.600,0
299,68.4,68.0,48.4,11.39,68.0,436,6.53,+0.397,-0.074,0.589,-0.600,0
302,101.8,69.1,43.7,9.63,69.1,192,3.11,+0.016,+0.340,0.535,-0.600,1
304,77.1,65.8,43.2,11.22,65.8,439,6.61,+0.575,+0.021,0.523,-0.600,1
305,92.6,97.8,36.9,22.96,97.8,674,7.01,+0.145,-0.433,0.494,+0.000,0
307,93.9,64.0,43.6,9.94,64.0,181,3.15,+0.170,+0.100,0.553,-0.600,1
